setting,seed,eval_time,state_bin,n_eval_cells,mean_g,median_g,std_g,frac_positive
equal_depth,42,4.0,1,41,-0.19481050968170166,-0.2084120512008667,0.1791279911994934,0.1951219512195122
equal_depth,42,4.0,2,28,-0.0867471694946289,-0.07557973265647888,0.15173780918121338,0.2857142857142857
equal_depth,42,4.0,3,20,-0.19171760976314545,-0.235921248793602,0.2095016986131668,0.1
equal_depth,42,4.0,4,32,-0.33434706926345825,-0.3778660297393799,0.21025332808494568,0.09375
equal_depth,42,4.0,5,0,,,,
equal_depth,42,4.0,6,0,,,,
equal_depth,42,4.0,7,472,0.1658385545015335,0.16259482502937317,0.23539866507053375,0.7690677966101694
equal_depth,43,0.0,0,0,,,,
equal_depth,43,0.0,1,6,0.10393334180116653,0.15561774373054504,0.23678900301456451,0.6666666666666666
equal_depth,43,0.0,2,2,0.2533559799194336,0.2533559799194336,0.0919732004404068,1.0
equal_depth,43,0.0,3,35,0.06000318378210068,0.022210970520973206,0.17521703243255615,0.5714285714285714
equal_depth,43,0.0,4,0,,,,
equal_depth,43,0.0,5,322,-0.38679003715515137,-0.41263383626937866,0.1191524863243103,0.009316770186335404
equal_depth,43,0.0,6,435,-0.00917563121765852,-0.0005463659763336182,0.16920436918735504,0.49885057471264366
equal_depth,43,0.0,7,0,,,,
equal_depth,43,1.0,0,13,0.14246591925621033,0.12362286448478699,0.10308025777339935,0.9230769230769231
equal_depth,43,1.0,1,152,0.09413844347000122,0.0843435600399971,0.21232843399047852,0.6907894736842105
equal_depth,43,1.0,2,203,0.11600413918495178,0.11783033609390259,0.1119118258357048,0.8866995073891626
equal_depth,43,1.0,3,109,-0.1295747011899948,-0.1363910585641861,0.18635384738445282,0.3302752293577982
equal_depth,43,1.0,4,7,0.7617079615592957,0.7902520298957825,0.247371643781662,1.0
equal_depth,43,1.0,5,6,-0.44311287999153137,-0.4465797543525696,0.09257339686155319,0.0
equal_depth,43,1.0,6,309,-0.0026642903685569763,-0.0007179230451583862,0.11929353326559067,0.49514563106796117
equal_depth,43,1.0,7,1,0.59059077501297,0.59059077501297,0.0,1.0
equal_depth,43,2.0,0,171,0.004487744066864252,-0.01541803777217865,0.1307157278060913,0.4152046783625731
equal_depth,43,2.0,1,334,0.019812315702438354,0.0043581947684288025,0.08436457067728043,0.5508982035928144
equal_depth,43,2.0,2,128,-0.056205864995718,-0.0634830966591835,0.05960734561085701,0.140625
equal_depth,43,2.0,3,27,0.011520147323608398,-0.0013041794300079346,0.1361149549484253,0.48148148148148145
equal_depth,43,2.0,4,116,0.36560970544815063,0.3507939577102661,0.1423586905002594,1.0
equal_depth,43,2.0,5,0,,,,
equal_depth,43,2.0,6,8,-0.07055803388357162,-0.08236289024353027,0.05405537411570549,0.125
equal_depth,43,2.0,7,16,0.07755108922719955,0.05894606187939644,0.06899537146091461,0.9375
equal_depth,43,3.0,0,132,0.11377009004354477,0.061852116137742996,0.20776280760765076,0.6439393939393939
equal_depth,43,3.0,1,359,-0.11191461235284805,-0.12794847786426544,0.1272020936012268,0.2116991643454039
equal_depth,43,3.0,2,72,-0.14495444297790527,-0.16184543073177338,0.13454975187778473,0.1527777777777778
equal_depth,43,3.0,3,39,0.0031556582543998957,-0.016357645392417908,0.12764064967632294,0.41025641025641024
equal_depth,43,3.0,4,141,-0.13585589826107025,-0.1391051560640335,0.08937446027994156,0.05673758865248227
equal_depth,43,3.0,5,0,,,,
equal_depth,43,3.0,6,0,,,,
equal_depth,43,3.0,7,57,0.0759294331073761,0.07236406207084656,0.14005662500858307,0.6842105263157895
equal_depth,43,4.0,0,207,0.5386069416999817,0.5065216422080994,0.3644343614578247,0.9420289855072463
equal_depth,43,4.0,1,41,-0.2044375091791153,-0.2484903782606125,0.17553548514842987,0.12195121951219512
equal_depth,43,4.0,2,28,-0.07946449518203735,-0.07029562443494797,0.16047854721546173,0.35714285714285715
