pert_id,canonical_smiles
BRD-A08027849,CC(CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
BRD-A08062015,CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
BRD-A08187463,CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1
BRD-A08200164,NC(Cc1ccc(cc1)N(CCCl)CCCl)C(O)=O
BRD-A08255417,CC(Cc1ccccc1)N(C)Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C
BRD-A08610364,CCOC(=O)CCCC(=O)Nc1ncnc2Oc3ccc4ccccc4c3C(c5ccccc5)c12
BRD-A08658758,CC1CC(=O)NN=C1c1ccc(F)c(F)c1
BRD-A08660406,CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I
BRD-A08662020,CNC(C)C(=O)NC(C(C)C)C(=O)N1CCCC1C(=O)Nc1cccc2ncccc12
BRD-A08709697,CO[C@H](C)C(O)(C(C)C)C(=O)OCC1=CCN2CC[C@H](O)[C@H]21
BRD-A08778300,CCCC(O)C#Cc1cnc2O[C@@H](CN(C)C(=O)Nc3ccc4OCOc4c3)[C@@H](C)CN([C@H](C)CO)C(=O)c2c1
BRD-A08877921,COC1=CC23CCCN3CCc4cc5OCOc5cc4C2C1O
BRD-A09053961,NC(Cc1cc(O)c(O)cc1Cl)C(O)=O
BRD-A09056319,COc1cc2nc(nc(N)c2cc1OC)N(C)CCCNC(=O)C1CCCO1
BRD-A09062839,CCC(C)(CN(C)C)OC(=O)c1ccccc1
BRD-A09073503,CN(C)CCC[N+]1([O-])c2ccccc2Sc2ccc(Cl)cc12
BRD-A09094913,O=C1CC2OCC=C3CN4CC[C@@]56C4C[C@@H]3[C@@H]2C5N1c1ccccc61
BRD-A09161221,CC(=O)O[C@@H]1CC(=O)OC(C)(C)C2CC(=O)[C@]3(C)C(CC[C@@]4(C)[C@@H](OC(=O)[C@H]5O[C@]543)c6ccoc6)[C@]21C
BRD-A09164687,Cc1cc(C)c(OCC(O)CNC(C)(C)C)c(C)c1
BRD-A09186529,OC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)/C=C/c3ccccn3
BRD-A09349126,CC(=O)O[C@]1(CCC2C3CCC4=CC(=O)CC[C@@H]4C3CC[C@@]21C)C#C
BRD-A09467419,CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1
BRD-A09472452,FC(F)(F)COc1ccc(OCC(F)(F)F)c(c1)C(=O)NCC1CCCCN1
BRD-A09495397,CN1CCc2cc3OCOc3cc2[C@H]1C4OC(=O)c5c6OCOc6ccc45
BRD-A09533288,COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC
BRD-A09539288,CN1C2CC[C@H]1C[C@H](C2)OC(=O)C(O)c1ccccc1
BRD-A09719808,CCC(OC(=O)c1ccc(c(c1)[N+]([O-])=O)S(C)(=O)=O)C(=O)NC1C2CC3CC(C2)CC1C3
BRD-A09722536,ClCCN(CCCl)P1(=O)NCCCO1
BRD-A09749088,C[C@]1(CCC[C@]2(C)[C@H]3CC(O)[C@](C)(C=C)C=C3CC[C@@H]12)C(=O)O
BRD-A09828896,Oc1cc2C(CNCCc2c(Cl)c1O)c1ccccc1
BRD-A09925278,CCNCC(O)c1cccc(O)c1
BRD-A09984573,CSC1=C(C#N)C(=O)NC(S1)c2ccc(Cl)cc2
BRD-A10070317,CC(C)NCC(O)COc1cccc2ccccc12
BRD-A10188456,C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
BRD-A10303790,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)OC4OC(=O)c5ccccc45
BRD-A10330754,Clc1ccc(Cn2cc(NC(=S)NCC3CCCO3)cn2)cc1
BRD-A10355991,NC1(CCCCC1=O)c2ccccc2Cl
BRD-A10386413,OCC(O)C1OC(=O)C(=O)C1O
BRD-A10396145,COc1cc(CC(O)CO)ccc1O
BRD-A10420615,CC(=O)C1C(=O)[C@@H]2[C@@H]3[C@@H](Cc4cccc5[nH]cc3c45)C(C)(C)N2C1=O
BRD-A10523515,CC1=C(C(CC(=O)N1)c1ccc(cc1)C(F)(F)F)C(=O)Nc1cc2cn[nH]c2cc1F
BRD-A10606614,CC1(C)S[C@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)OC1OC(=O)c2ccccc12
BRD-A10662413,CC(Cc1ccccc1)NCCC(c1ccccc1)c1ccccc1
BRD-A10715913,CCN1CCC(CNC(=O)c2cc(ccc2OC)S(=O)(=O)N)C1
BRD-A10903566,CCn1ccnc1CC1COc2ccccc2O1
BRD-A10969569,CO[C@@H]1CC2N3CC(O)C2(C=C1)c4cc5OCOc5c(OC)c4C3
BRD-A10977446,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12
BRD-A11007541,O=C1c2ccccc2C(NC2CCCCC2)\C1=C\c1ccccc1
BRD-A11009626,CN1CCc2cc(Br)c(O)cc2C(C1)c1ccc(cc1)N(CCCl)CCCl
BRD-A11087911,CC(Nc1ncnc2ccc(cc12)c3c(C)noc3C)c4ccco4
BRD-A11095214,O=C(N(C(=O)c1ccccc1)c2ncnc3Oc4ccc5ccccc5c4C(c6ccccc6)c23)c7ccccc7
BRD-A11132253,NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O
BRD-A11135865,Oc1ccc2CC3N(CC4CC4)CCC5(C6Oc1c25)C3(O)Cc7c8CC9(O)C%10Cc%11ccc(O)c%12OC(c8[nH]c67)C9(CCN%10CC%13CC%13)c%12%11
BRD-A11170096,CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(O)=O)C12
BRD-A11263757,Nc1ncn(C2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
BRD-A11483079,CC(C)C1COc2cc3oc(=O)ccc3cc2O1
BRD-A11512624,CCOC(=O)CC(=O)Nc1ncnc2Oc3ccc4ccccc4c3C(c5ccccc5)c12
BRD-A11605036,COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc3CCC(NC(=O)C)c4cc(=O)c(SC)ccc4-c3c1OC
BRD-A11609859,CN1CCC2(Cc3nc4ccccc4cc3CC2C1)c5cccc(O)c5
BRD-A11678676,COC[C@H]1OC(=O)c2coc3C(=O)C4=C([C@@H](C[C@@]5(C)C4CCC5=O)OC(=O)C)[C@]1(C)c23
BRD-A11702965,CO[C@@H]([C@H]1Cc2cc3cc(OC4CC(OC5CC(O)C(OC)C(C)O5)C(OC(C)=O)C(C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1OC1CC(OC2CC(OC3CC(C)(O)C(C)C(C)O3)C(O)C(C)O2)C(O)C(C)O1)C(=O)[C@@H](O)[C@@H](C)O
BRD-A11706664,Cn1nc(N)c2cn([C@@H]3O[C@H](CO)C(O)[C@@H]3O)c3ncnc1c23
BRD-A11731846,CC(OC1OC(CO)C(O)C(O)C1O)/C=C/C2(O)C(C)CC(O)CC2(C)C
BRD-A11776908,Clc1ccc(C(Cn2ccnc2)OCC=C)c(Cl)c1
BRD-A11813248,CN(CCc1ccc(Cl)c(Cl)c1)CC(O)COc1ccc(NS(C)(=O)=O)cc1
BRD-A11929187,CC1CCc2c(C1)sc3nc(C)nc(N4CCN(CC4)C(=O)c5ccco5)c23
BRD-A11968133,COc1cccc(Cn2ncc3c4sc(cc4n(C)c3c2=O)S(C)=O)c1
BRD-A11990600,OC1N=C(c2ccccc2Cl)c2cc(Cl)ccc2NC1=O
BRD-A12016240,CN1C2CCC1CC(C2)NC(=O)c3nn(C)c4ccccc34
BRD-A12083771,CCCn1ncc(CN2CCCC(C2)C(=O)c3cccc(OC(C)C)c3)c1C
BRD-A12230535,COc1ccc(C2=NC(C(N2C(=O)N2CCNC(=O)C2)c2ccc(Cl)cc2)c2ccc(Cl)cc2)c(OC(C)C)c1
BRD-A12409803,CNC(=O)c1ccc2cc(ccc2c1)C1(O)CCn2cncc12
BRD-A12426960,OC1(CF)CCOC(=O)C1
BRD-A12560204,CCOC(=O)C1C(C(=C(C)N=C1C)C(=O)OC)c2cccc(c2)[N+](=O)[O-]
BRD-A12633378,Cc1cc(C)c(NC(=O)C2CC3CCC2C3)c(C)c1
BRD-A12643502,Oc1cccnc1NC(=O)CCC2COc3ccccc3O2
BRD-A12832192,CN([N+][O-])C(=O)NC1C(O)OC(CO)C(O)C1O
BRD-A12881497,NCCc1c[nH]c2ccc(OC3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)C(O)=O)cc12
BRD-A13020530,COC(=O)CS(=O)c1ccc(cc1[N+](=O)[O-])C(F)(F)F
BRD-A13084692,Cc1c(C)c2OC(C)(COc3ccc(CC4SC(=O)NC4=O)cc3)CCc2c(C)c1O
BRD-A13122391,CC(C)[C@@]12O[C@H]2[C@@H]3O[C@]34[C@]5(O[C@H]5CC6C7=C(CC[C@@]64C)C(=O)OC7)[C@@H]1O
BRD-A13133631,C[C@H]1CC2C3CC[C@](O)(C(C)=O)[C@@]3(C)C[C@H](O)[C@]2(F)C2(C)C=CC(=O)C=C12
BRD-A13188892,COc1cc2nc(nc(N)c2cc1OC)N1CCN(CC1)C(=O)C1COc2ccccc2O1
BRD-A13195221,CCN(CC)c1ccc(cc1)C2Nc3ccccc3NC4=C2C(=O)CC(C4)c5ccccc5
BRD-A13346522,CCn1cc(CN2CCCC(C2)C(=O)c3cccc(c3)C(F)(F)F)cn1
BRD-A13367427,CC1OC(OC2CCC3(C)C(CCC4(C)C3CC=C5C6CC(C)(C)CCC6(CCC54C)C(=O)OC7OC(CO)C(OC8OCC(OC9OC(CO)C(O)C(O)C9O)C(OC%10OCC(O)C(O)C%10O)C8O)C(O)C7O)C2(C)C)C(O)C(O)C1OC%11OCC(O)C(O)C%11O
BRD-A13461302,CC1CC(=O)C2C(O)(C1)CC(O)C34OC4c5c(O)cccc5C(=O)C23O
BRD-A13650332,Cc1onc(c1C(=O)N[C@H]1[C@H]2SC(C)(C)C(N2C1=O)C(O)=O)-c1c(F)cccc1Cl
BRD-A13711138,OCC=C1C[N@+]2(CC=C)CC[C@@]34[C@@H]2C[C@@H]1C1=CN2C5C(=CN(C31)c1ccccc41)[C@@H]1C[C@@H]3[C@@]5(CC[N@@+]3(CC=C)CC1=CCO)c1ccccc21
BRD-A13807286,CCOC(=O)C(C#N)C1c2cc(Br)ccc2OC(N)=C1C(=O)OCC
BRD-A13914662,COc1cc2CCN(Cc3ccc(o3)[N+](=O)[O-])C(c4cccs4)c2cc1O
BRD-A13946108,CC1=C(CC(O)=O)c2cc(F)ccc2C\1=C/c1ccc(cc1)S(C)=O
BRD-A13964793,OC12C3C4C5C3C(C3C5CC4C13)N2CCc1cccc(F)c1
BRD-A13982089,C[N+](C)(C)CC(O)c1ccc(O)c(O)c1
BRD-A14014306,CC1=NN(C(=O)C1Cc2ccccc2)c3nc4ccccc4[nH]3
BRD-A14178283,C[C@H]1O[C@@H](O[C@H]2CC[C@@]3(C)C(CC[C@]4(C)C3C=C[C@@]56OC[C@@]7(CCC(C)(C)C[C@H]76)[C@@H](O)C[C@]54C)[C@]2(C)CO)[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O)[C@@H](O[C@@H]9O[C@H](CO)[C@@H](O[C@@H]%10O[C@H](CO)[C@@H](O)[C@H](O)[C@H]%10O)[C@H](O)[C@H]9O)[C@H]1O
BRD-A14208071,CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)c1ccccc1
BRD-A14240607,NCC(O)c1ccc(O)cc1
BRD-A14395271,CN1CCCCC1CCN1c2ccccc2Sc2ccc(cc12)S(C)=O
BRD-A14566392,CN1C2CC(CC1C3OC32)OC(=O)C(CO)c4ccccc4
BRD-A14574269,Clc1ccc(cn1)C1=CCCC2CCC1N2
BRD-A14652656,CCCC(=O)Nc1ncnc2n(cnc12)[C@@H]1O[C@@H]2OP(O)(=O)OC[C@@H]2[C@H]1OC(=O)CCC
BRD-A14792000,CCCCC(=O)N(Cc1ccc(cc1)-c1ccccc1-c1nn[nH]n1)C(C(C)C)C(O)=O
BRD-A14795281,CC(N)C(O)c1ccccc1Cl
BRD-A14798026,COc1ccc2C3CC[C@@]4(C)C(CC[C@@]4(O)C#C)C3CCc2c1
BRD-A14966924,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1
BRD-A14969012,Cc1cccc(c1)C2CN(CC=C)CCc3c(Cl)c(O)c(O)cc23
BRD-A14985772,CCCCCCCCCCCCCCCC(=O)OCC(O)[C@H]1OC(=O)C(=O)C1O
BRD-A14999564,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\COP(O)(=O)OP(O)(O)=O
BRD-A15010982,CCCCCCC(C)(C)c1cc(O)c2[C@H]3CC(CO)=CCC3C(C)(C)Oc2c1
BRD-A15034104,COc1c(O)cc2C(=O)OC3C(O)C(O)C(CO)OC3c2c1O
BRD-A15070535,CCCC(=O)Nc1ncnc2n(cnc12)[C@@H]3O[C@@H]4OP(=O)(O)OC[C@H]4[C@H]3OC(=O)CCC
